Holder,Value
Vanguard Total Stock Market Index Fund,52029092091
Vanguard 500 Index Fund,39474301085
SPDR S&P 500 ETF Trust,22276806963
Fidelity 500 Index Fund,18356610749
"Invesco ETF Tr-Invesco QQQ Tr, Series 1 ETF",19464588656
Vanguard Institutional Index Fund-Institutional Index Fund,15402479697
iShares Core S&P 500 ETF,16890240971
Vanguard Growth Index Fund,14337776690
Vanguard Information Technology Index Fund,9386009767
Select Sector SPDR Fund-Technology,912675691
