Holder,Value
Vanguard Total Stock Market Index Fund,52029093
Vanguard 500 Index Fund,39474302
SPDR S&P 500 ETF Trust,22276807
Fidelity 500 Index Fund,18356611
Invesco ETF Tr-Invesco QQQ,19464589
Vanguard Institutional Index Fund-Institutional Index Fund,15402480
iShares Core S&P 500 ETF,16890241
Vanguard Growth Index Fund,14337777
Vanguard Information Technology Index Fund,9386010
Select Sector SPDR Fund-Technology,912676
