Date,Close,Adj Close,Volume
2016-07-22,24.665001,23.041672,113254800
2016-07-25,24.334999,22.733387,161531600
2016-07-26,24.1675,22.576918,224959200
2016-07-27,25.737499,24.043583,369379200
2016-07-28,26.084999,24.368214,159479200
2016-07-29,26.0525,24.337851,110934800
2016-08-01,26.512501,24.767578,152671600
2016-08-02,26.120001,24.400913,135266400
2016-08-03,26.4475,24.706854,120810400
2016-08-04,26.467501,24.859488,109634800
2016-08-05,26.870001,25.23753,162213600
2016-08-08,27.092501,25.446508,112148800
2016-08-09,27.202499,25.549829,105260800
2016-08-10,27,25.359632,96034000
2016-08-11,26.9825,25.343191,109938000
2016-08-12,27.045,25.401896,74641600
2016-08-15,27.370001,25.707157,103472800
2016-08-16,27.344999,25.683668,135177600
2016-08-17,27.305,25.646103,101424000
2016-08-18,27.27,25.613228,87938800
2016-08-19,27.34,25.678976,101472400
2016-08-22,27.127501,25.479387,103280800
2016-08-23,27.2125,25.559221,85030800
2016-08-24,27.0075,25.366678,94700400
2016-08-25,26.8925,25.258661,100344800
2016-08-26,26.735001,25.110729,111065200
2016-08-29,26.705,25.082554,99881200
2016-08-30,26.5,24.890011,99455600
2016-08-31,26.525,24.913488,118649600
2016-09-01,26.682501,25.061424,106806000
2016-09-02,26.932501,25.296234,107210000
2016-09-06,26.924999,25.28919,107521600
2016-09-07,27.09,25.444162,169457200
2016-09-08,26.379999,24.777298,212008000
2016-09-09,25.782499,24.216099,186228000
2016-09-12,26.360001,24.758516,181171200
2016-09-13,26.987499,25.347887,248704800
2016-09-14,27.942499,26.244867,443554800
2016-09-15,28.8925,27.137156,359934400
2016-09-16,28.73,26.984528,319547600
2016-09-19,28.395,26.669876,188092000
2016-09-20,28.3925,26.66753,138057200
2016-09-21,28.387501,26.662834,144012800
2016-09-22,28.655001,26.914087,124296000
2016-09-23,28.1775,26.465593,209924800
2016-09-26,28.219999,26.505508,119477600
2016-09-27,28.272499,26.554825,98429600
2016-09-28,28.487499,26.756763,118564400
2016-09-29,28.045,26.341145,143548000
2016-09-30,28.262501,26.545429,145516400
2016-10-03,28.129999,26.420979,86807200
2016-10-04,28.25,26.533686,118947200
2016-10-05,28.262501,26.545429,85812400
2016-10-06,28.4725,26.74267,115117200
2016-10-07,28.514999,26.782583,97433600
2016-10-10,29.012501,27.249866,144944000
2016-10-11,29.075001,27.308571,256164000
2016-10-12,29.334999,27.552769,150347200
2016-10-13,29.245001,27.468241,140769600
2016-10-14,29.407499,27.620863,142608800
2016-10-17,29.387501,27.602079,94499600
2016-10-18,29.3675,27.583296,98214000
2016-10-19,29.280001,27.50111,80138400
2016-10-20,29.264999,27.487022,96503200
2016-10-21,29.15,27.379011,92770800
2016-10-24,29.4125,27.625566,94154800
2016-10-25,29.5625,27.766449,192516000
2016-10-26,28.897499,27.14185,264536800
2016-10-27,28.620001,26.88121,138248000
2016-10-28,28.43,26.702751,151446800
2016-10-31,28.385,26.660484,105677600
2016-11-01,27.872499,26.179125,175303200
2016-11-02,27.897499,26.202606,113326800
2016-11-03,27.4575,25.921747,107730400
2016-11-04,27.209999,25.688087,123348000
2016-11-07,27.602501,26.058634,130240000
2016-11-08,27.764999,26.212044,97016800
2016-11-09,27.719999,26.169559,236705600
2016-11-10,26.9475,25.440268,228538000
2016-11-11,27.1075,25.59132,136575600
2016-11-14,26.4275,24.949354,204702000
2016-11-15,26.7775,25.279776,129058000
2016-11-16,27.497499,25.959503,235362000
2016-11-17,27.487499,25.950066,110528000
2016-11-18,27.514999,25.976027,113715600
2016-11-21,27.932501,26.37018,117058400
2016-11-22,27.950001,26.386698,103862000
2016-11-23,27.807501,26.252167,109705600
2016-11-25,27.9475,26.384338,45903600
2016-11-28,27.8925,26.332415,108776000
2016-11-29,27.865,26.306452,114115200
2016-11-30,27.629999,26.084597,144649200
2016-12-01,27.372499,25.841503,148347600
2016-12-02,27.475,25.938267,106112000
2016-12-05,27.2775,25.75181,137298000
2016-12-06,27.487499,25.950066,104782000
2016-12-07,27.7575,26.204964,119994800
2016-12-08,28.030001,26.462227,108273200
2016-12-09,28.487499,26.894136,137610400
2016-12-12,28.325001,26.740721,105497600
2016-12-13,28.797501,27.186798,174935200
2016-12-14,28.797501,27.186798,136127200
2016-12-15,28.955,27.335484,186098000
2016-12-16,28.9925,27.37089,177404400
2016-12-19,29.16,27.529018,111117600
2016-12-20,29.237499,27.602188,85700000
2016-12-21,29.264999,27.628145,95132800
2016-12-22,29.0725,27.446415,104343600
2016-12-23,29.129999,27.500698,56998000
2016-12-27,29.315001,27.675356,73187600
2016-12-28,29.190001,27.557346,83623600
2016-12-29,29.182501,27.550264,60158000
2016-12-30,28.955,27.335484,122345200
2017-01-03,29.0375,27.413372,115127600
2017-01-04,29.004999,27.38269,84472400
2017-01-05,29.1525,27.521944,88774400
2017-01-06,29.477501,27.828764,127007600
2017-01-09,29.747499,28.08366,134247600
2017-01-10,29.7775,28.111979,97848400
2017-01-11,29.9375,28.263029,110354400
2017-01-12,29.8125,28.145027,108344800
2017-01-13,29.76,28.095461,104447600
2017-01-17,30,28.322041,137759200
2017-01-18,29.997499,28.319677,94852000
2017-01-19,29.945,28.270119,102389200
2017-01-20,30,28.322041,130391600
2017-01-23,30.02,28.340923,88200800
2017-01-24,29.9925,28.314957,92844000
2017-01-25,30.469999,28.765747,129510400
2017-01-26,30.485001,28.779911,105350400
2017-01-27,30.487499,28.782272,82251600
2017-01-30,30.407499,28.706743,121510000
2017-01-31,30.3375,28.640661,196804000
2017-02-01,32.1875,30.387186,447940000
2017-02-02,32.1325,30.335266,134841600
2017-02-03,32.27,30.465073,98029200
2017-02-06,32.572498,30.750654,107383600
2017-02-07,32.8825,31.043314,152735200
2017-02-08,33.009998,31.163679,92016400
2017-02-09,33.105,31.388868,113399600
2017-02-10,33.029999,31.317757,80262000
2017-02-13,33.322498,31.595093,92141600
2017-02-14,33.755001,32.00518,132904800
2017-02-15,33.877499,32.121319,142492400
2017-02-16,33.837502,32.083401,90338400
2017-02-17,33.93,32.171108,88792800
2017-02-21,34.174999,32.4034,98028800
2017-02-22,34.2775,32.500591,83347600
2017-02-23,34.1325,32.363113,83152800
2017-02-24,34.165001,32.393925,87106400
2017-02-27,34.232498,32.45792,81029600
2017-02-28,34.247501,32.472145,93931600
2017-03-01,34.947498,33.13586,145658400
2017-03-02,34.740002,32.939114,104844000
2017-03-03,34.945,33.133476,84432400
2017-03-06,34.834999,33.029186,87000000
2017-03-07,34.880001,33.071854,69785200
2017-03-08,34.75,32.948601,74828800
2017-03-09,34.669998,32.872742,88623600
2017-03-10,34.785,32.981777,78451200
2017-03-13,34.799999,32.996002,69686800
2017-03-14,34.747501,32.94622,61236400
2017-03-15,35.115002,33.294674,102767200
2017-03-16,35.172501,33.349194,76928000
2017-03-17,34.997501,33.183266,175540000
2017-03-20,35.365002,33.531719,86168000
2017-03-21,34.959999,33.147709,158119600
