Date,Close,Volume,MA
1980-12-12,0.128348,469033600,0.128348
1980-12-15,0.121652,175884800,0.121652
1980-12-16,0.112723,105728000,0.112723
1980-12-17,0.115513,86441600,0.115513
1980-12-18,0.118862,73449600,0.118862
1980-12-19,0.126116,48630400,0.126116
1980-12-22,0.132254,37363200,0.122209714
1980-12-23,0.137835,46950400,0.123883833
1980-12-24,0.145089,48003200,0.129278167
1980-12-26,0.158482,55574400,0.136439667
1980-12-29,0.160714,93161600,0.143415
1980-12-30,0.156808,68880000,0.148530333
1980-12-31,0.152344,35750400,0.151878667
1981-01-02,0.154018,21660800,0.154575833
1981-01-05,0.15067,35728000,0.155506
1981-01-06,0.143973,45158400,0.153087833
1981-01-07,0.137835,55686400,0.149274667
1981-01-08,0.135045,39827200,0.1456475
1981-01-09,0.142299,21504000,0.143973333
1981-01-12,0.141183,23699200,0.141834167
1981-01-13,0.136161,23049600,0.139416
1981-01-14,0.136719,14291200,0.138207
1981-01-15,0.139509,14067200,0.138486
1981-01-16,0.138393,13395200,0.139044
1981-01-19,0.146763,41574400,0.139788
1981-01-20,0.142299,30083200,0.139974
1981-01-21,0.145089,15904000,0.141462
1981-01-22,0.146763,35548800,0.143136
1981-01-23,0.146205,11222400,0.144252
1981-01-26,0.143973,24640000,0.145182
1981-01-27,0.142857,23699200,0.144531
1981-01-28,0.138393,28156800,0.14388
1981-01-29,0.133371,43904000,0.141927
1981-01-30,0.126116,46188800,0.138485833
1981-02-02,0.118862,23766400,0.133928667
1981-02-03,0.123326,19152000,0.1304875
1981-02-04,0.12779,27865600,0.127976333
1981-02-05,0.12779,7929600,0.126209167
1981-02-06,0.128348,13865600,0.125372
1981-02-09,0.121652,16755200,0.124628
1981-02-10,0.121652,18345600,0.125093
1981-02-11,0.117746,13843200,0.124163
1981-02-12,0.116629,14560000,0.122302833
1981-02-13,0.113839,11155200,0.119977667
1981-02-17,0.116629,12275200,0.1180245
1981-02-18,0.121652,19241600,0.1180245
1981-02-19,0.114397,22310400,0.116815333
1981-02-20,0.108259,24371200,0.115234167
1981-02-23,0.109933,14112000,0.114118167
1981-02-24,0.106027,16979200,0.112816167
1981-02-25,0.112723,19488000,0.112165167
1981-02-26,0.114397,10841600,0.110956
1981-02-27,0.118304,14761600,0.111607167
1981-03-02,0.118862,11760000,0.113374333
